,size_l,og,fg,abv,ibu,color,boilsize,boiltime,boilgravity,efficiency,mashthickness,pitchrate,primarytemp,review_taste,beer_abv,sugarscale_Plato,sugarscale_Specific Gravity,brewmethod_All Grain,brewmethod_BIAB,brewmethod_Partial Mash,brewmethod_extract
81,20.82,1.075,1.022,6.99,26.27,11.19,28.39,60.0,1.055,65.0,1.5,0.75,18.89,3.772727272727273,7.5,0.0,1.0,1.0,0.0,0.0,0.0
82,20.82,1.075,1.022,6.99,26.27,11.19,28.39,60.0,1.055,65.0,1.5,0.75,18.89,3.5,10.6,0.0,1.0,1.0,0.0,0.0,0.0
83,20.82,1.075,1.022,6.99,26.27,11.19,28.39,60.0,1.055,65.0,1.5,0.75,18.89,3.5,7.0,0.0,1.0,1.0,0.0,0.0,0.0
84,20.82,1.075,1.022,6.99,26.27,11.19,28.39,60.0,1.055,65.0,1.5,0.75,18.89,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0
85,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.625,4.5,0.0,1.0,1.0,0.0,0.0,0.0
86,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.8333333333333335,8.5,0.0,1.0,1.0,0.0,0.0,0.0
87,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.465045592705167,7.3999999999999995,0.0,1.0,1.0,0.0,0.0,0.0
88,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.7,5.61,0.0,1.0,1.0,0.0,0.0,0.0
89,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,4.204241071428571,10.0,0.0,1.0,1.0,0.0,0.0,0.0
90,58.7,1.07,1.013,7.51,34.49,20.34,66.2,60.0,1.062,66.0,2.9,0.0,18.0,3.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0
